timestamp,machine_id,operating_mode,temperature_c,vibration_mm_s,pressure_kpa,current_a,rpm,ambient_c,maintenance_age_days,fault_label,fault_type
2025-01-01T00:00:00Z,M001,idle,34.689,1.112,102.933,4.647,569.6,13.056,64,0,none
2025-01-01T06:00:00Z,M001,idle,34.054,0.73,107.394,3.447,753.4,18.224,64,0,none
2025-01-01T12:00:00Z,M001,idle,35.717,1.26,106.309,4.21,617.7,24.046,64,0,none
2025-01-01T18:00:00Z,M001,idle,36.325,1.128,113.357,4.218,668.5,18.806,64,0,none
2025-01-02T00:00:00Z,M001,idle,34.622,1.086,113.14,4.483,665.7,13.953,65,0,none
2025-01-02T06:00:00Z,M001,load,46.795,1.804,137.408,11.41,1572.4,17.542,65,0,none
2025-01-02T12:00:00Z,M001,load,51.027,2.093,140.05,11.26,1447.7,24.892,65,0,none
2025-01-02T18:00:00Z,M001,load,51.991,1.943,141.928,10.665,1684.8,20.642,65,0,none
2025-01-03T00:00:00Z,M001,load,47.803,2.369,139.237,10.578,1566.1,14.203,66,0,none
2025-01-03T06:00:00Z,M001,load,50.007,2.136,139.351,11.564,1584.3,18.401,66,0,none
2025-01-03T12:00:00Z,M001,load,48.949,2.036,139.473,11.518,1672.9,23.469,66,0,none
2025-01-03T18:00:00Z,M001,load,48.041,2.189,141.38,10.382,1584.9,19.898,66,0,none
2025-01-04T00:00:00Z,M001,load,46.269,1.869,135.48,11.093,1648.0,14.211,67,0,none
2025-01-04T06:00:00Z,M001,load,48.017,1.88,133.877,11.219,1626.5,18.171,67,0,none
2025-01-04T12:00:00Z,M001,load,48.503,1.933,137.939,10.345,1518.3,24.253,67,0,none
2025-01-04T18:00:00Z,M001,load,50.918,2.131,142.902,11.229,1551.1,19.719,67,0,none
2025-01-05T00:00:00Z,M001,load,47.028,2.182,135.389,10.775,1537.0,14.616,68,0,none
2025-01-05T06:00:00Z,M001,load,47.387,1.982,140.538,11.657,1598.3,18.093,68,0,none
2025-01-05T12:00:00Z,M001,high_load,61.384,2.468,160.725,15.834,2284.5,24.837,68,0,none
2025-01-05T18:00:00Z,M001,high_load,57.839,2.777,164.423,16.917,2215.4,21.154,68,0,none
2025-01-06T00:00:00Z,M001,high_load,56.722,2.868,160.789,16.114,2291.1,15.494,69,0,none
2025-01-06T06:00:00Z,M001,high_load,58.324,3.038,155.605,15.729,2277.8,17.994,69,0,none
2025-01-06T12:00:00Z,M001,high_load,57.413,2.613,154.546,17.482,2266.0,24.291,69,0,none
2025-01-06T18:00:00Z,M001,high_load,60.536,3.104,165.666,16.143,2275.8,20.973,69,0,none
2025-01-07T00:00:00Z,M001,idle,33.292,1.068,103.184,5.13,637.5,15.055,70,0,none
